LINES,HD34078,HD36512
OII3954,1,1.0
OII4075,1,1.0
OII4414b,1,1.0
OII4416b,1,1.0
OII4661,1,1.0
OII4906,1,1.0
OIII4081,0,1.0
OIII5268,1,1.0
OIII5508,0,1.0
OIII5592,1,1.0
OIV4654,0,1.0
CII3918,0,1.0
CII3920,0,1.0
CII6582,0,1.0
CIII4056,1,1.0
CIII4162,1,1.0
CIII5696,0,1.0
CIII5826,1,1.0
CIII6744,0,1.0
CIV5811,1,1.0
NII3995,0,1.0
NII4447,0,1.0
NII4552,1,1.0
NII4621,1,1.0
NII5005,1,1.0
NII5007,0,1.0
NII5045,0,1.0
NII5666,0,1.0
NII5676,1,1.0
NII5679,0,1.0
NII5710,1,1.0
NII6610,1,1.0
NIII3999,0,1.0
NIII4523,1,1.0
NIV4058,0,1.0
NV4603,1,1.0
NV4619,0,1.0
