# Atomic Line List version: 3.00b3   Constructed: 2021-05-04 10:19 GMT
# Wavelength range: 3800 - 7000   Unit: Angstrom   Type: Air
# Radial velocity: 0 km/s
# Wavelength accuracy upper limit: 5%
# Element/Spectrum: H  I, He I-II, O  I-IV, C  I-IV, N  I-V, Si I-IV, Mg I-IV, S  I-IV, Ne I-IV, Ar I-IV
# Minimum line strength: no restrictions
# Include lines without atomic data: true
# Minimum abundance: no minimum
# Lower level energy range: no restrictions   Unit: cm^-1
# Upper level energy range: no restrictions
# Maximum for principal quantum number n: no restrictions
# Transition types included: nebular
# Transitions from auto-ionizing levels: included
# Comment code: Em -> observed in emission
# REFERENCE PAPER: https://ui.adsabs.harvard.edu/abs/2004MNRAS.355..229E/abstract

wl_air	   , dlamb  , spc     , tt, configuration  , term   , J_i-J_k           , -lg(gf) , tpf, level_energy(cm-1)   , ref    ,  name, comment
3805.741356, 1.1e-06,  He I   , E1,   1s.2p-1s.11d , 1Po-1D ,       1 - 2       ,  -2.1060,   1, 171134.90 - 197403.53, 112.084,      ,
3809.102434, 1.1e-06,  He I   , E1,   1s.2p-1s.11s , 1Po-1S ,       1 - 0       ,  -3.2239,   1, 171134.90 - 197380.35, 112.084,      ,
3813.495   , 1.9e-02,  He II  , E1,      4*-19*    ,   4-19 , 1/2-7/2 - 1/2-37/2,  -1.4140,  28, 411477.95 - 437693.12, 007    ,      ,
3819.601969, 2.9e-07,  He I   , E1,   1s.2p-1s.6d  , 3Po-3D ,       2 - 1       ,  -2.9299,  31, 169086.77 - 195260.08, 112    ,      ,
3819.602767, 2.9e-07,  He I   , E1,   1s.2p-1s.6d  , 3Po-3D ,       2 - 2       ,  -1.7541,  31, 169086.77 - 195260.07, 112    ,      ,
3819.602822, 2.9e-07,  He I   , E1,   1s.2p-1s.6d  , 3Po-3D ,       2 - 3       ,  -1.0059,  31, 169086.77 - 195260.07, 112    ,      ,
3819.613122, 2.9e-07,  He I   , E1,   1s.2p-1s.6d  , 3Po-3D ,       1 - 1       ,  -1.7546,  31, 169086.84 - 195260.08, 112    ,      ,
3819.613920, 2.9e-07,  He I   , E1,   1s.2p-1s.6d  , 3Po-3D ,       1 - 2       ,  -1.2769,  31, 169086.84 - 195260.07, 112    ,      ,
3819.757303, 2.9e-07,  He I   , E1,   1s.2p-1s.6d  , 3Po-3D ,       0 - 1       ,  -1.6288,  31, 169087.83 - 195260.08, 112    ,      ,
3833.548697, 9.9e-07,  He I   , E1,   1s.2p-1s.10d , 1Po-1D ,       1 - 2       ,  -1.9732,  31, 171134.90 - 197212.99, 112    ,      ,
3833.800   , 1.9e-02,  He II  , E1,      4*-18*    ,   4-18 , 1/2-7/2 - 1/2-35/2,  -1.3369,  28, 411477.95 - 437554.28, 007    ,      ,
3835.384   , 1.5e-02,  H I    , E1,      2*-9*     ,   2-9  , 1/2-3/2 - 1/2-17/2,  -1.3619,  28,  82259.11 - 108324.73, 007    ,      ,
3838.100110, 1.0e-06,  He I   , E1,   1s.2p-1s.10s , 1Po-1S ,       1 - 0       ,  -3.0828,  31, 171134.90 - 197182.07, 112    ,      ,
3858.072   , 1.9e-02,  He II  , E1,      4*-17*    ,   4-17 , 1/2-7/2 - 1/2-33/2,  -1.2546,  28, 411477.95 - 437390.23, 007    ,      ,
3867.472336, 1.0e-06,  He I   , E1,   1s.2p-1s.6s  , 3Po-3S ,       2 - 1       ,  -2.0384,  31, 169086.77 - 194936.12, 112    ,      ,
3867.483771, 1.0e-06,  He I   , E1,   1s.2p-1s.6s  , 3Po-3S ,       1 - 1       ,  -2.2602,  31, 169086.84 - 194936.12, 112    ,      ,
3867.631588, 1.0e-06,  He I   , E1,   1s.2p-1s.6s  , 3Po-3S ,       0 - 1       ,  -2.7373,  31, 169087.83 - 194936.12, 112    ,      ,
3869.07    , 9.4e-02, [Ne III], M1, 2s2.2p4-2s2.2p4,  3P-1D ,       2 - 2       ,  -8.7079,  15,      0.00 -  25838.70, 029.008,      ,
3869.07    , 9.4e-02, [Ne III], E2, 2s2.2p4-2s2.2p4,  3P-1D ,       2 - 2       , -11.5258,  15,      0.00 -  25838.70, 029.008,      ,
3871.786391, 1.0e-06,  He I   , E1,   1s.2p-1s.9d  , 1Po-1D ,       1 - 2       ,  -1.8220,  31, 171134.90 - 196955.45, 112    ,      ,
3878.176842, 1.0e-06,  He I   , E1,   1s.2p-1s.9s  , 1Po-1S ,       1 - 0       ,  -2.9323,  31, 171134.90 - 196912.90, 112    ,      ,
3887.442   , 2.0e-02,  He II  , E1,      4*-16*    ,   4-16 , 1/2-7/2 - 1/2-31/2,  -1.1661,  28, 411477.95 - 437194.47, 007    ,      ,
3888.604647, 1.1e-06,  He I   , E1,   1s.2s-1s.3p  ,  3S-3Po,       1 - 0       ,  -1.6675,  31, 159855.97 - 185564.85, 112    ,      ,
3888.645585, 1.1e-06,  He I   , E1,   1s.2s-1s.3p  ,  3S-3Po,       1 - 1       ,  -1.1904,  31, 159855.97 - 185564.58, 112    ,      ,
3888.648909, 1.1e-06,  He I   , E1,   1s.2s-1s.3p  ,  3S-3Po,       1 - 2       ,  -0.9685,  31, 159855.97 - 185564.56, 112    ,      ,
3889.049   , 1.5e-02,  H I    , E1,      2*-8*     ,   2-8  , 1/2-3/2 - 1/2-15/2,  -1.1916,  28,  82259.11 - 107965.06, 007    ,      ,
3923.481   , 2.0e-02,  He II  , E1,      4*-15*    ,   4-15 , 1/2-7/2 - 1/2-29/2,  -1.0705,  28, 411477.95 - 436958.26, 007    ,      ,
3926.544371, 1.0e-06,  He I   , E1,   1s.2p-1s.8d  , 1Po-1D ,       1 - 2       ,  -1.6491,  31, 171134.90 - 196595.37, 112    ,      ,
3935.945207, 1.1e-06,  He I   , E1,   1s.2p-1s.8s  , 1Po-1S ,       1 - 0       ,  -2.7616,  31, 171134.90 - 196534.56, 112    ,      ,
3964.728813, 1.3e-06,  He I   , E1,   1s.2s-1s.4p  ,  1S-1Po,       0 - 1       ,  -1.3084,  31, 166277.44 - 191492.71, 112    ,      ,
3967.79    , 9.9e-02, [Ne III], M1, 2s2.2p4-2s2.2p4,  3P-1D ,       1 - 2       ,  -9.1957,  15,    642.88 -  25838.70, 029.008,      , Em
3967.79    , 9.9e-02, [Ne III], E2, 2s2.2p4-2s2.2p4,  3P-1D ,       1 - 2       , -12.3474,  15,    642.88 -  25838.70, 029.008,      , Em
3968.432   , 2.0e-02,  He II  , E1,      4*-14*    ,   4-14 , 1/2-7/2 - 1/2-27/2,  -0.9664,  28, 411477.95 - 436669.65, 007    ,      ,
3970.072   , 1.6e-02,  H I    , E1,      2*-7*     ,   2-7  , 1/2-3/2 - 1/2-13/2,  -0.9927,  28,  82259.11 - 107440.45, 007    ,      ,
4009.256499, 1.1e-06,  He I   , E1,   1s.2p-1s.7d  , 1Po-1D ,       1 - 2       ,  -1.4475,  31, 171134.90 - 196070.13, 112    ,      ,
4012.01    , 1.0e-01, [Ne III], E2, 2s2.2p4-2s2.2p4,  3P-1D ,       0 - 2       , -12.9915,  15,    920.55 -  25838.70, 029.008,      ,
4023.979778, 1.2e-06,  He I   , E1,   1s.2p-1s.7s  , 1Po-1S ,       1 - 0       ,  -2.5615,  31, 171134.90 - 195978.90, 112    ,      ,
4025.601   , 2.1e-02,  He II  , E1,      4*-13*    ,   4-13 , 1/2-7/2 - 1/2-25/2,  -0.8521,  28, 411477.95 - 436311.90, 007    ,      ,
4026.013770, 3.3e-07,  He I]  , E1,   1s.2p-1s.5d  , 3Po-1D ,       1 - 2       ,  -4.9940,  31, 169086.84 - 193918.29, 112    ,      ,
4026.184360, 3.3e-07,  He I   , E1,   1s.2p-1s.5d  , 3Po-3D ,       2 - 1       ,  -2.6291,  31, 169086.77 - 193917.16, 112    ,      ,
4026.185894, 3.3e-07,  He I   , E1,   1s.2p-1s.5d  , 3Po-3D ,       2 - 2       ,  -1.4527,  31, 169086.77 - 193917.15, 112    ,      ,
4026.185998, 3.3e-07,  He I   , E1,   1s.2p-1s.5d  , 3Po-3D ,       2 - 3       ,  -0.7046,  31, 169086.77 - 193917.15, 112    ,      ,
4026.196753, 3.3e-07,  He I   , E1,   1s.2p-1s.5d  , 3Po-3D ,       1 - 1       ,  -1.4530,  31, 169086.84 - 193917.16, 112    ,      ,
4026.198287, 3.3e-07,  He I   , E1,   1s.2p-1s.5d  , 3Po-3D ,       1 - 2       ,  -0.9756,  31, 169086.84 - 193917.15, 112    ,      ,
4026.356951, 3.3e-07,  He I   , E1,   1s.2p-1s.5d  , 3Po-3D ,       0 - 1       ,  -1.3281,  31, 169087.83 - 193917.16, 112    ,      ,
4068.600   , 1.5e-02, [S II]  , M1, 3s2.3p3-3s2.3p3, 4So-2Po,     3/2 - 3/2     ,  -8.7185,  22,      0.00 -  24571.54, ASD    ,      ,
4068.600   , 1.5e-02, [S II]  , E2, 3s2.3p3-3s2.3p3, 4So-2Po,     3/2 - 3/2     , -15.0240,  22,      0.00 -  24571.54, ASD    ,      ,
4076.349   , 1.5e-02, [S II]  , M1, 3s2.3p3-3s2.3p3, 4So-2Po,     3/2 - 1/2     ,  -9.4137,  22,      0.00 -  24524.83, ASD    ,      ,
4076.349   , 1.5e-02, [S II]  , E2, 3s2.3p3-3s2.3p3, 4So-2Po,     3/2 - 1/2     , -14.2360,  22,      0.00 -  24524.83, ASD    ,      ,
4100.041   , 2.1e-02,  He II  , E1,      4*-12*    ,   4-12 , 1/2-7/2 - 1/2-23/2,  -0.7250,  28, 411477.95 - 435861.03, 007    ,      ,
4101.735   , 1.7e-02,  H I    , E1,      2*-6*     ,   2-6  , 1/2-3/2 - 1/2-11/2,  -0.7524,  28,  82259.11 - 106632.17, 007    ,      ,
4120.810757, 1.7e-06,  He I   , E1,   1s.2p-1s.5s  , 3Po-3S ,       2 - 1       ,  -1.7241,  31, 169086.77 - 193346.99, 112    ,      ,
4120.823739, 1.7e-06,  He I   , E1,   1s.2p-1s.5s  , 3Po-3S ,       1 - 1       ,  -1.9465,  31, 169086.84 - 193346.99, 112    ,      ,
4120.991556, 1.7e-06,  He I   , E1,   1s.2p-1s.5s  , 3Po-3S ,       0 - 1       ,  -2.4222,  31, 169087.83 - 193346.99, 112    ,      ,
4143.759042, 1.2e-06,  He I   , E1,   1s.2p-1s.6d  , 1Po-1D ,       1 - 2       ,  -1.2017,  31, 171134.90 - 195260.77, 112    ,      ,
4143.879066, 1.2e-06,  He I]  , E1,   1s.2p-1s.6d  , 1Po-3D ,       1 - 2       ,  -5.2658,  31, 171134.90 - 195260.07, 112    ,      ,
4168.971494, 1.6e-06,  He I   , E1,   1s.2p-1s.6s  , 1Po-1S ,       1 - 0       ,  -2.3214,  31, 171134.90 - 195114.87, 112    ,      ,
4199.832   , 2.2e-02,  He II  , E1,      4*-11*    ,   4-11 , 1/2-7/2 - 1/2-21/2,  -0.5816,  28, 411477.95 - 435281.69, 007    ,      ,
4246.429   , 1.6e-02, [C I]   , M2, 2s2.2p2-2s.2p3 ,  1D-5So,       2 - 2       , -17.2800,  11,  10192.63 -  33735.20, ASD    ,      ,
4338.671   , 2.3e-02,  He II  , E1,      4*-10*    ,   4-10 , 1/2-7/2 - 1/2-19/2,  -0.4170,  28, 411477.95 - 434519.98, 007    ,      ,
4340.463   , 1.9e-02,  H I    , E1,      2*-5*     ,   2-5  , 1/2-3/2 - 1/2-9/2 ,  -0.4466,  28,  82259.11 - 105291.66, 007    ,      ,
4363.209   , 1.7e-02, [O III] , E2, 2s2.2p2-2s2.2p2,  1D-1S ,       2 - 0       ,  -8.3177,  12,  20273.27 -  43185.74, 039    ,      ,
4387.929124, 1.3e-06,  He I   , E1,   1s.2p-1s.5d  , 1Po-1D ,       1 - 2       ,  -0.8866,  31, 171134.90 - 193918.29, 112    ,      ,
4388.148304, 1.3e-06,  He I]  , E1,   1s.2p-1s.5d  , 1Po-3D ,       1 - 2       ,  -4.8979,  31, 171134.90 - 193917.15, 112    ,      ,
4437.553407, 2.4e-06,  He I   , E1,   1s.2p-1s.5s  , 1Po-1S ,       1 - 0       ,  -2.0151,  31, 171134.90 - 193663.51, 112    ,      ,
4471.079381, 4.0e-07,  He I]  , E1,   1s.2p-1s.4d  , 3Po-1D ,       2 - 2       ,  -4.9221,  31, 169086.77 - 191446.46, 112    ,      ,
4471.094664, 4.0e-07,  He I]  , E1,   1s.2p-1s.4d  , 3Po-1D ,       1 - 2       ,  -4.4700,  31, 169086.84 - 191446.46, 112    ,      ,
4471.470365, 4.1e-07,  He I   , E1,   1s.2p-1s.4d  , 3Po-3D ,       2 - 1       ,  -2.2115,  31, 169086.77 - 191444.50, 112    ,      ,
4471.474069, 4.1e-07,  He I   , E1,   1s.2p-1s.4d  , 3Po-3D ,       2 - 2       ,  -1.0359,  31, 169086.77 - 191444.48, 112    ,      ,
4471.474309, 4.1e-07,  He I   , E1,   1s.2p-1s.4d  , 3Po-3D ,       2 - 3       ,  -0.2870,  31, 169086.77 - 191444.48, 112    ,      ,
4471.485650, 4.1e-07,  He I   , E1,   1s.2p-1s.4d  , 3Po-3D ,       1 - 1       ,  -1.0373,  31, 169086.84 - 191444.50, 112    ,      ,
4471.489354, 4.1e-07,  He I   , E1,   1s.2p-1s.4d  , 3Po-3D ,       1 - 2       ,  -0.5592,  31, 169086.84 - 191444.48, 112    ,      ,
4471.683243, 4.1e-07,  He I   , E1,   1s.2p-1s.4d  , 3Po-3D ,       0 - 1       ,  -0.9091,  31, 169087.83 - 191444.50, 112    ,      ,
4507.3114  , 1.8e-03, [S I]   , E2, 3s2.3p4-3s2.3p4,  3P-1S ,       2 - 0       , -10.8100,  21,      0.00 -  22179.95, ASD    ,      ,
4541.591   , 2.5e-02,  He II  , E1,      4*-9*     ,   4-9  , 1/2-7/2 - 1/2-17/2,  -0.2230,  28, 411477.95 - 433490.48, 007    ,      ,
4562.6017  , 1.9e-03, [Mg I]  , M2,     3s2-3s.3p  ,  1S-3Po,       0 - 2       , -10.2037,  16,      0.00 -  21911.18, ASD    ,      ,
4589.2605  , 1.9e-03, [S I]   , M1, 3s2.3p4-3s2.3p4,  3P-1S ,       1 - 0       ,  -9.0131,  21,    396.06 -  22179.95, ASD    ,      ,
4621.570   , 1.9e-02, [C I]   , M1, 2s2.2p2-2s2.2p2,  3P-1S ,       1 - 0       , -11.1176,   7,     16.40 -  21648.01, ASD    ,      ,
4627.346   , 1.9e-02, [C I]   , E2, 2s2.2p2-2s2.2p2,  3P-1S ,       2 - 0       , -13.1411,   7,     43.40 -  21648.01, ASD    ,      ,
4685.71    , 6.0e-02,  He II  , E1,      3*-4*     ,   3-4  , 1/2-5/2 - 1/2-7/2 ,   1.1807,  28, 390142.40 - 411477.95, 007    ,      ,
4711.37    , 2.0e-01, [Ar IV] , M1, 3s2.3p3-3s2.3p3, 4So-2Do,     3/2 - 5/2     , -10.4953, ASD,      0.00 -  21219.30, 058    ,      ,
4711.37    , 2.0e-01, [Ar IV] , E2, 3s2.3p3-3s2.3p3, 4So-2Do,     3/2 - 5/2     ,  -9.7964, ASD,      0.00 -  21219.30, 058    ,      ,
4713.139163, 5.1e-06,  He I   , E1,   1s.2p-1s.4s  , 3Po-3S ,       2 - 1       ,  -1.2767,  31, 169086.77 - 190298.11, 112    ,      ,
4713.156145, 5.1e-06,  He I   , E1,   1s.2p-1s.4s  , 3Po-3S ,       1 - 1       ,  -1.4991,  31, 169086.84 - 190298.11, 112    ,      ,
4713.375674, 5.1e-06,  He I   , E1,   1s.2p-1s.4s  , 3Po-3S ,       0 - 1       ,  -1.9748,  31, 169087.83 - 190298.11, 112    ,      ,
4714.25    , 8.7e-02, [Ne IV] , M1, 2s2.2p3-2s2.2p3, 2Do-2Po,     5/2 - 3/2     ,  -8.5836,  14,  41234.43 -  62440.80, 091    ,      ,
4714.25    , 8.7e-02, [Ne IV] , E2, 2s2.2p3-2s2.2p3, 2Do-2Po,     5/2 - 3/2     ,  -8.6145,  14,  41234.43 -  62440.80, 091    ,      ,
4715.66    , 8.7e-02, [Ne IV] , E2, 2s2.2p3-2s2.2p3, 2Do-2Po,     5/2 - 1/2     ,  -9.1579,  14,  41234.43 -  62434.50, 091    ,      ,
