#Wavelength range: 3800 - 9000   Unit: Angstrom   Type: Air
#Radial velocity: 0 km/s
#Wavelength accuracy upper limit: 5%
#Element/Spectrum: H I, He I-II, O I-IV, C I-IV, Ne I-III, Fe I-III, N I-IV, Si I-IV, Mg I-IV, S I-IV, V I-II, Cr I-II, Ni I-II, Sc I-II, Ti I-II, Ca I-II, Na I-II
#Minimum line strength: -0.5 Type: log(gf)
#Include lines without atomic data: false
#Minimum abundance: no minimum
#Lower level energy range: no restrictions   Unit: cm^-1
#Upper level energy range: no restrictions
#Maximum for principal quantum number n: no restrictions
#Transition types included: E1
#Transitions from auto-ionizing levels: included
wl_air, spc, -lg(gf), tpf, ref
3802.605,	S II,	-0.4561,	3,	ASD
3802.984,	O II,	-0.4761,	15,	ASD
3804.787,	Cr I,	0.1299,		ASD,	ASD
3805.3423,	Fe I,	0.3695,		ASD,	061
3806.526,	Si III,	0.6785,		17,	ASD
3806.6955,	Fe I,	0.111,		ASD,	061
3806.7,		Si III,	-0.07,		17,	ASD
3806.795,	V I,	-0.2648,	ASD,	ASD
3809.646,	S II,	-0.4569,	3,	ASD
3811.745,	S II,	-0.156,		3,	ASD
3812.8,		C III,	-0.2043,	3,	ASD
3815.04,	S IV,	-0.2626,	3,	ASD
3815.388,	V II,	-0.389,		ASD,	ASD
3815.83999,	Fe I,	0.2983,		ASD,	061
3817.903,	Ne III,	0.1663,		3,	008
3818.423,	Ne II,	-0.2255,	17,	025
3818.7,		C III,	0.0661,		3,	ASD
3820.4252,	Fe I,	0.1193,		ASD,	061
3821.1777,	Fe I,	0.2995,		ASD,	061
3824.3039,	Fe I,	-0.0429,	30,	061
3825.88088,	Fe I,	-0.0366,	ASD,	061
3827.82249,	Fe I,	0.0622,		ASD,	061
3828.556,	V I,	-0.329,		ASD,	ASD
3828.626,	N II,	-0.2745,	3,	030
3829.3547,	Mg I,	-0.2265,	17,	ASD
3829.751,	Ne II,	0.1127,		17,	025
3831.379,	S II,	0.097,		3,	ASD
3832.2993,	Mg I,	-0.3514,	17,	ASD
3832.3039,	Mg I,	0.1259,		17,	ASD
3833.3,		O IV,	-0.193,		3,	ASD
3834.22234,	Fe I,	-0.3015,	ASD,	061
3836.33054,	Fe I,	-0.4089,	30,	061
3838.268,	S III,	-0.314,		19,	ASD
3838.2919,	Mg I,	0.3974,		17,	ASD
3838.2946,	Mg I,	-0.3511,	17,	ASD
3838.374,	N II,	-0.1085,	3,	030
3839.256,	Fe I,	-0.254,		ASD,	061
3840.133,	V I,	-0.4299,	ASD,	ASD
3840.751,	V I,	-0.1381,	ASD,	ASD
3841.0478,	Fe I,	-0.0639,	ASD,	061
3841.1,		O IV,	-0.4597,	3,	ASD
3842.4,		O IV,	0.0859,		3,	ASD
3843.2566,	Fe I,	-0.1373,	ASD,	061
3845.4,		O IV,	-0.2049,	3,	ASD
3846.4095,	Fe I,	-0.4208,	ASD,	061
3846.8003,	Fe I,	-0.0921,	30,	061
3850.2,		O IV,	-0.4891,	3,	ASD
3850.909,	S II,	-0.4281,	3,	ASD
3855.841,	V I,	0.0134,		ASD,	ASD
3856.018,	Si II,	-0.4342,	7,	ASD
3859.595,	Sc II,	0.0896,		ASD,	ASD
3860.598,	S II,	-0.4292,	3,	ASD
3862.173,	C II,	-0.395,		24,	ASD
3863.0638,	Ni I,	-0.4473,	30,	095
3863.857,	V I,	-0.3803,	ASD,	ASD
3864.856,	V I,	-0.4401,	ASD,	ASD
3865.557,	Ne III,	-0.2388,	3,	008
3865.84,	Ne III,	-0.4052,	3,	008
3867.21594,	Fe I,	-0.4186,	ASD,	061
3871.075,	V I,	-0.298,		ASD,	ASD
3875.078,	V I,	-0.3713,	ASD,	ASD
3876.038,	C II,	1.0794,		24,	ASD
3876.187,	C II,	1.8521,		24,	ASD
3876.393,	C II,	1.6178,		24,	ASD
3876.653,	C II,	1.3599,		24,	ASD
3878.033,	C II,	0.4894,		24,	ASD
3879.645,	C II,	0.7266,		24,	ASD
